债券代码,债券简称,票面利率(%),发行起始日,主承销商,发行人省份,发行人,发行人行业,募集资金用途,债券类型,上市地点,债项评级
012000708.IB,20川能投(疫情防控债)SCP001,2.67,2020-03-05,中国建设银行股份有限公司,四川省,四川省能源投资集团有限责任公司,公用事业,"募集资金9亿元,用于偿还到期债务融资工具和存量负债;
募集资金1亿元,用于补充下属子公司支持疫情防控相关运营资金.本期发行10亿元超短期融资券,其中2亿元用于归还发行人2020年4月16日到期的超短期融资券(债券简称:19川能投SCP003),5亿元用于归还2020年3月14日到期的兴业国际信托贷款,2亿元用于归还2020年3月28日到期的中国银行贷款.",超短期融资债券,银行间,
d20030420.IB,20顺鑫农业SCP001,--,2020-03-05,"北京银行股份有限公司,中信建投证券股份有限公司",北京,北京顺鑫农业股份有限公司,日常消费,"发行人本期发行金额为人民币5亿元,计划将0.55亿元用于补充因新型冠状病毒肺炎疫情防控及疫情防控期间保障生猪供应所需的营运资金,剩余4.45亿元用于偿还有息债务.",超短期融资债券,银行间,
q20030316.IB,20希望六和MTN001,--,2020-03-05,"中国农业银行股份有限公司,中国银行股份有限公司",四川省,新希望六和股份有限公司,日常消费,"本期拟发行金额20亿元,其中2亿元用于其湖北片区8家饲料公司部分饲料生产原材料采购及防疫费用的支出,18亿元用于偿还公司生产经营中部分银行借款.",一般中期票据,银行间,AAA
165711.SH,中宏01A1,3.3,2020-03-05,"华福证券有限责任公司,海通证券股份有限公司",湖南省,湖南中宏融资租赁有限公司,金融,,证监会主管ABS,上海,AAA
d20030419.IB,20利港SCP001,--,2020-03-05,"中国银行股份有限公司,中国邮政储蓄银行股份有限公司",江苏省,江阴利港发电股份有限公司,公用事业,本次募集资金2亿元拟用于偿还发行人银行借款,超短期融资债券,银行间,
d20030433.IB,20正邦SCP001,--,2020-03-05,"上海浦东发展银行股份有限公司,九江银行股份有限公司",江西省,正邦集团有限公司,日常消费,"发行人本期超短融募集资金总计6亿元,其中43,100万元用于偿还发行人下属子公司银行贷款,剩余16,900万元用于在当前新型冠状病毒肺炎期间,为保障重点疫情地区湖北孙公司的饲料业务正常供应所需的流动资金.",超短期融资债券,银行间,
d20030418.IB,20牧原(疫情防控债)SCP003,--,2020-03-05,"恒丰银行股份有限公司,中国银行股份有限公司",河南省,牧原食品股份有限公司,日常消费,"本次发行金额中2.9亿元用于偿还到期银行贷款,本次发行金额中2.1亿元用于补充发行人全资子公司河南牧原粮食贸易有限公司流动资金需求.",超短期融资债券,银行间,
114674.SZ,20汽投01,--,2020-03-05,华创证券有限责任公司,北京,北京汽车集团产业投资有限公司,金融,本次债券发行规模不超过6亿元，1亿元用于补充流动资金，5亿元用于偿还发行人及其子公司金融机构借款。,私募债,深圳,
112094098.IB,20哈尔滨银行(防疫专项)CD065,2.9,2020-03-05,,黑龙江省,哈尔滨银行股份有限公司,金融,,同业存单,银行间,
163233.SH,20建租01,3.79,2020-03-05,"招商证券股份有限公司,中信建投证券股份有限公司",北京,中建投租赁股份有限公司,金融,"本期债券募集资金款项在扣除必要的发行费用后,拟全部用于补充流动资金.",一般公司债,上海,AA+
d20030417.IB,20华电江苏SCP002,--,2020-03-05,"招商银行股份有限公司,中国工商银行股份有限公司",江苏省,华电江苏能源有限公司,公用事业,"本期超短期融资券募集资金10亿元,其中5.4亿元用于偿还债务融资工具,3亿元用于归还银行借款,1.6亿元用于补充助力新型冠状病毒肺炎疫情防控相关工作的经营周转资金",超短期融资债券,银行间,
166173.SH,20湘高01,3.6,2020-03-05,"财富证券有限责任公司,德邦证券股份有限公司",湖南省,湖南省高速公路集团有限公司,工业,"本期债券募集资金部分拟用于公司因抗击疫情而产生的相关基础设施建设改造支出,交通运输物流保障支出,公共事业服务支出等,剩余部分资金将用于偿还公司有息债务本息.",私募债,上海,
012000703.IB,20越秀集团(疫情防控债)SCP001,1.55,2020-03-05,交通银行股份有限公司,广东省,广州越秀集团股份有限公司,金融,"本期超短期融资券发行金额为5亿元,发行人计划将用于偿还发行人金融机构借款和补充因支持疫情防控等原因而支出的流动资金以及补充受疫情影响的农业业务的流动资金.",超短期融资债券,银行间,
163210.SH,20皖控01,3.4,2020-03-05,华安证券股份有限公司,安徽省,安徽省国有资本运营控股集团有限公司,工业,本期债券的募集资金扣除发行费用后，不低于20%（含）的金额用于补充流动资金，补充流动资金部分全部用于满足安徽省重点疫区的企事业单位以及医疗企事业单位的融资租赁需求，剩余资金用于偿还公司债务。,一般公司债,上海,AA+
163202.SH,20联储G1,6,2020-03-05,华福证券有限责任公司,广东省,联储证券有限责任公司,金融,"本期债券募集资金拟全部用于补充公司日常生产经营所需营运资金,其中不低于10%用于支持疫情防护防控相关业务.",证券公司债,上海,AA
165713.SH,中宏01次,--,2020-03-05,"华福证券有限责任公司,海通证券股份有限公司",湖南省,湖南中宏融资租赁有限公司,金融,,证监会主管ABS,上海,
165712.SH,中宏01A2,3.5,2020-03-05,"海通证券股份有限公司,华福证券有限责任公司",湖南省,湖南中宏融资租赁有限公司,金融,,证监会主管ABS,上海,AAA
082000084.IB,20华润租赁(疫情防控债)ABN001优先A1,3.3,2020-03-04,"江苏银行股份有限公司,中国邮政储蓄银行股份有限公司",广东省,华润租赁有限公司,工业,"本期资产支持票据总发行规模7.95亿元,发起机构自持全部次级资产支持票据2.37亿元,实际募集资金5.58亿元,其中2亿元用于偿还精准扶贫项目借款,不低于4,000万元用于投放精准扶贫项目,剩余资金用于偿还发起机构及下属子公司存量债务及新增项目投放.",交易商协会ABN,银行间,AAA
082000085.IB,20华润租赁(疫情防控债)ABN001优先A2,3.68,2020-03-04,"中国邮政储蓄银行股份有限公司,江苏银行股份有限公司",广东省,华润租赁有限公司,工业,"本期资产支持票据总发行规模7.95亿元,发起机构自持全部次级资产支持票据2.37亿元,实际募集资金5.58亿元,其中2亿元用于偿还精准扶贫项目借款,不低于4,000万元用于投放精准扶贫项目,剩余资金用于偿还发起机构及下属子公司存量债务及新增项目投放.",交易商协会ABN,银行间,AAA
102000223.IB,20泉州文旅(疫情防控债)MTN001,3.37,2020-03-04,"中国银行股份有限公司,国泰君安证券股份有限公司",福建省,泉州文化旅游发展集团有限公司,可选消费,发行人计划使用本次中期票据募集资金中5亿元用于偿还公司有息债务,一般中期票据,银行间,AA+
082000092.IB,20君信租赁(疫情防控债)ABN001次,--,2020-03-04,恒丰银行股份有限公司,上海,君信融资租赁(上海)有限公司,金融,"本项目发起机构已做会计出表处理,募集资金将用于补充营运资金,用于发起机构支付《租赁合同》约定的应支付给承租人的(回租)租赁物约定价款,以及依据《设备买卖合同》应支付给设备供应商的(直租)合同产品总价款.本次募集资金主要用于凯盛科技及下属公司,其中[90,000,000]元将用于凯盛君恒的防疫药品玻璃包装原材料的生产经营,凯盛君恒有限公司是专注于5.0中性硼硅药用玻璃研发与生产的高新技术企业,公司正在紧急生产防疫药品玻璃包装原材料订单.",交易商协会ABN,银行间,
082000090.IB,20君信租赁(疫情防控债)ABN001优先A1,3.8,2020-03-04,恒丰银行股份有限公司,上海,君信融资租赁(上海)有限公司,金融,"本项目发起机构已做会计出表处理,募集资金将用于补充营运资金,用于发起机构支付《租赁合同》约定的应支付给承租人的(回租)租赁物约定价款,以及依据《设备买卖合同》应支付给设备供应商的(直租)合同产品总价款.本次募集资金主要用于凯盛科技及下属公司,其中[90,000,000]元将用于凯盛君恒的防疫药品玻璃包装原材料的生产经营,凯盛君恒有限公司是专注于5.0中性硼硅药用玻璃研发与生产的高新技术企业,公司正在紧急生产防疫药品玻璃包装原材料订单.",交易商协会ABN,银行间,AA+
082000091.IB,20君信租赁(疫情防控债)ABN001优先A2,4.49,2020-03-04,恒丰银行股份有限公司,上海,君信融资租赁(上海)有限公司,金融,"本项目发起机构已做会计出表处理,募集资金将用于补充营运资金,用于发起机构支付《租赁合同》约定的应支付给承租人的(回租)租赁物约定价款,以及依据《设备买卖合同》应支付给设备供应商的(直租)合同产品总价款.本次募集资金主要用于凯盛科技及下属公司,其中[90,000,000]元将用于凯盛君恒的防疫药品玻璃包装原材料的生产经营,凯盛君恒有限公司是专注于5.0中性硼硅药用玻璃研发与生产的高新技术企业,公司正在紧急生产防疫药品玻璃包装原材料订单.",交易商协会ABN,银行间,AA+
112022001.IB,20邮储银行(防疫专项)CD001,2.2,2020-03-04,,北京,中国邮政储蓄银行股份有限公司,金融,,同业存单,银行间,
149050.SZ,20中南01,6.8,2020-03-04,"中山证券有限责任公司,申万宏源证券承销保荐有限责任公司",江苏省,江苏中南建设集团股份有限公司,房地产,本期债券发行规模不超过17亿元，其中拟将不低于1.7亿元（10%）用于支持疫情防护防控相关业务，包括专项用于建设医院PPP项目，以支持项目当地医疗基础设施建设，增强项目当地防御疫情的能力等；其余募集资金用于偿还投资者回售的“18中南01”公司债券。,一般公司债,深圳,AA+
032000151.IB,20成都产投(疫情防控债)PPN001,3.4,2020-03-04,,四川省,成都产业投资集团有限公司,工业,,定向工具,银行间,
082000086.IB,20华润租赁(疫情防控债)ABN001次,--,2020-03-04,"江苏银行股份有限公司,中国邮政储蓄银行股份有限公司",广东省,华润租赁有限公司,工业,"本期资产支持票据总发行规模7.95亿元,发起机构自持全部次级资产支持票据2.37亿元,实际募集资金5.58亿元,其中2亿元用于偿还精准扶贫项目借款,不低于4,000万元用于投放精准扶贫项目,剩余资金用于偿还发起机构及下属子公司存量债务及新增项目投放.",交易商协会ABN,银行间,
102000241.IB,20河南发电(疫情防控债)MTN001,3.23,2020-03-04,上海浦东发展银行股份有限公司,河南省,大唐河南发电有限公司,公用事业,"本次中期票据发行5亿元人民币,其中0.5亿元将用于发行人下属子公司补充营运资金,以保障河南信阳等疫情较重地区的民生及供电,供热,供汽需求,并支持此次抗击新型冠状病毒肺炎疫情的相关工作.4.5亿元用于偿还发行人债务融资工具及其子公司金融机构借款.发行人将加强募集资金管控,严格按照约定用途使用募集资金.",一般中期票据,银行间,AAA
149051.SZ,20中南02,7.4,2020-03-04,"中山证券有限责任公司,申万宏源证券承销保荐有限责任公司",江苏省,江苏中南建设集团股份有限公司,房地产,本期债券发行规模不超过17亿元，其中拟将不低于1.7亿元（10%）用于支持疫情防护防控相关业务，包括专项用于建设医院PPP项目，以支持项目当地医疗基础设施建设，增强项目当地防御疫情的能力等；其余募集资金用于偿还投资者回售的“18中南01”公司债券。,一般公司债,深圳,AA+
012000680.IB,20国电长源(疫情防控债)SCP001,2.6,2020-03-04,中国建设银行股份有限公司,湖北省,国电长源电力股份有限公司,公用事业,"发行人本期发行5亿元超短期融资券,其中4亿元用于偿还金融机构借款,1亿元用于支持疫情防控,补充本部及子公司营运资金.",超短期融资债券,银行间,
112093926.IB,20龙湾农商银行(防疫专项)CD002,2.35,2020-03-04,,浙江省,浙江温州龙湾农村商业银行股份有限公司,金融,,同业存单,银行间,
112017070.IB,20光大银行(防疫专项)CD070,2.2,2020-03-04,,北京,中国光大银行股份有限公司,金融,,同业存单,银行间,
163225.SH,20宝钢01,2.95,2020-03-04,"中信建投证券股份有限公司,中国国际金融股份有限公司,中信证券股份有限公司,华宝证券有限责任公司",上海,宝山钢铁股份有限公司,材料,"本期债券为疫情防控债,发行规模不超过30亿元,募集资金中的3亿元用于发行人及其子公司用于补充因抗击疫情带来的营运资金需求,其余部分用于偿还公司债务.",一般公司债,上海,AAA
112093925.IB,20嘉兴银行(防疫专项)CD001,2.9,2020-03-04,,浙江省,嘉兴银行股份有限公司,金融,,同业存单,银行间,
166190.SH,20康富01,6.5,2020-03-04,"华泰联合证券有限责任公司,国信证券股份有限公司,中信建投证券股份有限公司,海通证券股份有限公司",北京,中国康富国际租赁股份有限公司,金融,本期债券募集资金扣除发行费用后，拟使用1.2亿元向防疫工作提供支持的有关企业进行直租项目投放；8.8亿元将用于偿还债务。,私募债,上海,
163231.SH,20首创01,3.39,2020-03-04,"东方花旗证券有限公司,首创证券有限责任公司",北京,北京首创股份有限公司,公用事业,本期债券发行总规模为人民币10亿元，本期债券募集的资金在扣除相关发行费用后拟用于补充营运资金，其中不低于10%用于湖北、浙江、安徽、河南、广东等疫情严重地区供水、污水处理、生活垃圾处理等消杀药剂、防护等支出。,一般公司债,上海,AAA
012000679.IB,20国电南自(疫情防控债)SCP001,3.18,2020-03-04,中国光大银行股份有限公司,江苏省,国电南京自动化股份有限公司,工业,"首期募集资金2亿元,其中1.8亿元拟用于偿还发行人存量融资,0.2亿元用于补充与抗击新型冠状病毒肺炎疫情相关的营运资金需求,以达到进一步降优化债务结构的目的.",超短期融资债券,银行间,
012000681.IB,20四川航空(疫情防控债)SCP003,2.3,2020-03-04,中信银行股份有限公司,四川省,四川航空股份有限公司,工业,"本期超短期融资券募集资金10亿元,其中:6亿元拟用于偿还发行人本部有息债务,1亿元用于补充为助力新型冠状病毒肺炎疫情防控相关的运营资金,3亿元用于由新型冠状病毒肺炎疫情影响维持正常运营所需日常资金需求.",超短期融资债券,银行间,
012000683.IB,20云城投(疫情防控债)SCP003,3.4,2020-03-04,中信银行股份有限公司,云南省,云南省城市建设投资集团有限公司,工业,"发行人本期超短期融资券募集10亿元资金的用途为:9亿元用于归还发行人到期债务(不涉及地方政府债务),1亿元用于抗击新型冠状病毒肺炎疫情所需流动资金",超短期融资债券,银行间,
012000682.IB,20潍坊投资(疫情防控债)SCP001,2.97,2020-03-04,"中信证券股份有限公司,渤海银行股份有限公司",山东省,潍坊市投资集团有限公司,金融,"本期超短期融资券发行规模5亿元,其中0.5亿元用于补充公司下属保安公司及擂鼓山粮食库疫情防控相关业务支出,包括但不限于置换前期防疫支出,防疫物资购买,测温,金融押运支出,安检管理,防疫物资管理及消毒杀菌等,4亿元用于偿还银行借款,0.5亿元用于补充其它板块流动资金",超短期融资债券,银行间,
102000224.IB,20深航空(疫情防控债)MTN001,3,2020-03-03,"中国建设银行股份有限公司,中国农业银行股份有限公司",广东省,深圳航空有限责任公司,工业,"发行人本期中期票据发行金额为10亿元,其中5亿元用于补充企业流动资金,包括1亿元拟用于补充为旅客免费办理退票,改期等支出产生的营运资金需求以及免费提供防疫物资,医疗人员等运输产生的营运资金需求,4亿元拟用于公司因日常经营所需支付航油款,员工工资,起降费,维修费;5亿元用于为归还即将到期的深圳航空有限责任公司2019年度第二十二期超短期融资券",一般中期票据,银行间,AAA
012000660.IB,20盐城东方(疫情防控债)SCP002,3.8,2020-03-03,江苏银行股份有限公司,江苏省,盐城东方投资开发集团有限公司,工业,"本期拟发行2亿元,根据发行人的资金需求和说明,本期2亿元中1.618亿元用于归还债务融资工具,非公开公司债利息,0.182亿元用于归还子公司流动资金借款,0.2亿元用于补充发行人及子公司的流动资金以支持区内受到新型冠状病毒感染的肺炎疫情影响,生产经营遇到困难的中小企业房租减免.",超短期融资债券,银行间,
112093752.IB,20富邦华一银行(防疫专项)CD047,2.8,2020-03-03,,上海,富邦华一银行有限公司,金融,,同业存单,银行间,
032000150.IB,20京东(疫情防控债)PPN002,2.75,2020-03-03,,北京,北京京东世纪贸易有限公司,信息技术,,定向工具,银行间,
012000661.IB,20伊利实业(疫情防控债)SCP004,2.3,2020-03-03,中国工商银行股份有限公司,内蒙古自治区,内蒙古伊利实业集团股份有限公司,日常消费,"本期人民币5亿元超短期融资券的募集资金,全部用于补充发行人本部及子公司营运资金.",超短期融资债券,银行间,
012000659.IB,20福新能源(疫情防控债)SCP001,2.08,2020-03-03,"中国建设银行股份有限公司,兴业银行股份有限公司",福建省,华电福新能源股份有限公司,公用事业,"发行人此次发行的20亿元超短期融资券,15.50亿元用于偿还本部或下属公司金融机构借款,4.5亿元补充本部或下属公司日常营运资金,其中2亿元用于补充保障疫情防控用电需求带来的发电设备更新换代,检修维护及疫情防控物资采购等流动资金缺口.",超短期融资债券,银行间,
112018074.IB,20华夏银行(防疫专项)CD074,2.5,2020-03-03,,北京,华夏银行股份有限公司,金融,,同业存单,银行间,
112014030.IB,20江苏银行(防疫专项)CD030,2.3,2020-03-03,,江苏省,江苏银行股份有限公司,金融,,同业存单,银行间,
112093753.IB,20焦作中旅银行(防疫专项)CD019,3.7,2020-03-03,,河南省,焦作中旅银行股份有限公司,金融,,同业存单,银行间,
112093754.IB,20汇丰银行(防疫专项)CD016,2.45,2020-03-03,,上海,汇丰银行(中国)有限公司,金融,,同业存单,银行间,
012000658.IB,20伊利实业(疫情防控债)SCP003,2.4,2020-03-03,中信银行股份有限公司,内蒙古自治区,内蒙古伊利实业集团股份有限公司,日常消费,"期超短期融资券发行规模10亿元,其中9亿元用于补充发行人子公司营运资金,1亿元用于补充与抗击新型冠状病毒肺炎疫情相关的营运资金需求.",超短期融资债券,银行间,
112093496.IB,20贵州花溪农商行(防疫专项)CD013,3.22,2020-03-02,,贵州省,贵州花溪农村商业银行股份有限公司,金融,,同业存单,银行间,
112093493.IB,20贵州瓮安农商银行(防疫专项)CD006,3.12,2020-03-02,,贵州省,贵州瓮安农村商业银行股份有限公司,金融,,同业存单,银行间,
102000218.IB,20特变(疫情防控债)MTN001,4.3,2020-03-02,"中信建投证券股份有限公司,兴业银行股份有限公司",新疆维吾尔自治区,新疆特变电工集团有限公司,工业,"发行人本期发行5亿元中期票据,募集资金拟用于偿还发行人本部和下属子公司有息债务,补充下属疫情防控物资及生产生活物资运输企业营运资金.",一般中期票据,银行间,AA+
102000219.IB,20步步高(疫情防控债)MTN001,7.3,2020-03-02,中国建设银行股份有限公司,湖南省,步步高投资集团股份有限公司,可选消费,"本期拟发行7.00亿元,募集资金中5亿元偿还存量贷款,2亿元用于补充抗击新型冠状病毒疫情的民生保障相关流动资金.",一般中期票据,银行间,AA
102000213.IB,20海盐国资(疫情防控债)MTN001,3.72,2020-03-02,"浙商银行股份有限公司,中信银行股份有限公司",浙江省,海盐县国有资产经营有限公司,工业,"发行人本期中期票据拟募集资金3亿元,其中2.6亿元用于偿还银行贷款,4000万元用于受疫情影响板块的流动资金补充",一般中期票据,银行间,AA+
102000215.IB,20宁夏农垦(疫情防控债)MTN001,4.3,2020-03-02,"中信银行股份有限公司,招商银行股份有限公司",宁夏回族自治区,宁夏农垦集团有限公司,工业,"本期发行金额5亿元,0.5亿元用于补充新冠肺炎疫情防控期间的流动资金,4.5亿元用于偿还银行借款",一般中期票据,银行间,AA+
082000080.IB,20诚泰租赁(疫情防控债)ABN001优先A1,5.5,2020-03-02,"中国建设银行股份有限公司,海通证券股份有限公司",上海,诚泰融资租赁(上海)有限公司,金融,"本期资产支持票据所募集的资金主要用于公司支持疫情防控的补充营运资金及偿还公司债务,募集资金用途符合国家法律法规及政策要求.",交易商协会ABN,银行间,AAA
082000081.IB,20诚泰租赁(疫情防控债)ABN001优先A2,6.2,2020-03-02,"海通证券股份有限公司,中国建设银行股份有限公司",上海,诚泰融资租赁(上海)有限公司,金融,"本期资产支持票据所募集的资金主要用于公司支持疫情防控的补充营运资金及偿还公司债务,募集资金用途符合国家法律法规及政策要求.",交易商协会ABN,银行间,AAA
082000083.IB,20诚泰租赁(疫情防控债)ABN001次,--,2020-03-02,"海通证券股份有限公司,中国建设银行股份有限公司",上海,诚泰融资租赁(上海)有限公司,金融,"本期资产支持票据所募集的资金主要用于公司支持疫情防控的补充营运资金及偿还公司债务,募集资金用途符合国家法律法规及政策要求.",交易商协会ABN,银行间,
082000082.IB,20诚泰租赁(疫情防控债)ABN001优先B,7.2,2020-03-02,"中国建设银行股份有限公司,海通证券股份有限公司",上海,诚泰融资租赁(上海)有限公司,金融,"本期资产支持票据所募集的资金主要用于公司支持疫情防控的补充营运资金及偿还公司债务,募集资金用途符合国家法律法规及政策要求.",交易商协会ABN,银行间,AA
102000214.IB,20湖北广电(疫情防控债)MTN001,3.95,2020-03-02,"招商银行股份有限公司,兴业银行股份有限公司",湖北省,湖北省广播电视信息网络股份有限公司,可选消费,"本期发行10亿元,其中9亿元用于偿还发行人到期债务,1亿元用于补充因提供疫区网络支持等原因而支出的流动资金及补充受疫情影响的电视及宽带板块的流动资金需求.",一般中期票据,银行间,AA+
166044.SH,20上数01,4.98,2020-03-02,"申港证券股份有限公司,太平洋证券股份有限公司",江西省,上饶市数字和金融产业投资集团有限公司,,本期债券募集资金中不超过1.45亿元拟作为疫情防控专项款，以融资租赁形式投放至广信区人民医院、德兴市人民医院两家江西省新型冠状病毒感染的肺炎医疗救治定点医院；不超过2.32亿元用作子公司金源华兴租赁的其他融资租赁项目投放款，满足租赁业务发展的资金需求；不超过4.23亿元用于置换发行人通过自筹方式对外支付的股权投资款。,私募债,上海,AAA
012000643.IB,20华邦健康(疫情防控债)SCP002,5.5,2020-03-02,"中国建设银行股份有限公司,重庆农村商业银行股份有限公司",重庆,华邦生命健康股份有限公司,材料,"本次超短期融资券发行募集资金5亿元,其中4.5亿元用于偿还发行人将到期的债务融资工具,0.5亿元用于子公司重庆华邦制药有限公司采购与生产抗击新型冠状病毒有关的药品原材料.",超短期融资债券,银行间,
112093594.IB,20宁波镇海农商行(防疫专项)CD001,2.58,2020-03-02,,浙江省,宁波镇海农村商业银行股份有限公司,金融,,同业存单,银行间,
